t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.7001934,0.010156306,0.467815,0.35112157,0.69067353,0.6160857,0.70568854,0.7309551,0.7570254,0.7835254,0.74728996,0.80036664,0.31399733
1,0.47932112,0.0036054368,0.2789994,0.2131078,0.43322027,0.36080742,0.38138133,0.38766867,0.40063143,0.41385418,0.38857004,0.41956708,0.15141635
2,0.6779807,0.18869609,0.32492843,0.30493718,0.6468304,0.56636167,0.6341541,0.6635044,0.6855073,0.6985657,0.6814477,0.70803845,0.46839866
3,0.70220554,0.078696795,0.18757193,0.1812526,0.67117155,0.59308785,0.6424768,0.65463746,0.67121583,0.68641555,0.65241444,0.69048685,0.34575295
4,0.23873408,0.042844508,0.20321976,0.18860888,0.20053242,0.17182443,0.17354369,0.19830321,0.24317639,0.26169014,0.2587266,0.2807883,0.16185012
5,0.39716318,0.0029260057,0.2180413,0.13594757,0.3647571,0.31820095,0.33932316,0.35676607,0.3886695,0.40808633,0.38909572,0.42356345,0.16516624
6,0.5295454,0.004795814,0.5023326,0.44154277,0.49833485,0.44924405,0.49331743,0.5122812,0.5337049,0.5506721,0.532913,0.5683363,0.2678048
7,0.14848481,0.002911834,0.22991896,0.1378234,0.12038324,0.10907997,0.103630684,0.15752168,0.24615453,0.2793668,0.2915936,0.31646606,0.17437206
8,0.15181386,0.008981225,0.17062184,0.12069871,0.116684884,0.09161091,0.085089795,0.11172791,0.16005997,0.1760432,0.17079252,0.19739476,0.1303559
9,0.56560487,0.003682385,0.44163185,0.36046454,0.5321103,0.47166967,0.51413417,0.53570837,0.5545239,0.5727212,0.54976875,0.58413976,0.28339097
10,0.8138863,0.013891646,0.49109134,0.33747476,0.7980195,0.734461,0.80052054,0.8172414,0.834126,0.85632944,0.8236107,0.86738443,0.38988903
11,0.5538608,0.088349275,0.17855719,0.16655733,0.5323296,0.48923764,0.5278175,0.54529065,0.57569987,0.5931275,0.5721703,0.60378754,0.31296185
12,0.8338061,0.035618864,0.40593368,0.2955103,0.8105235,0.7473025,0.80069876,0.797165,0.81031895,0.83581704,0.80230474,0.84442264,0.34776163
13,0.16455765,0.0012728344,0.1378834,0.09360194,0.12460908,0.104344636,0.09545125,0.114479356,0.14994864,0.16588572,0.15745246,0.17842318,0.07012169
14,0.14126654,0.025302356,0.15904146,0.09913195,0.12013349,0.10680674,0.09405783,0.1217147,0.19789949,0.22477376,0.22457571,0.24312684,0.092682205
15,0.9897887,0.08553659,0.7759375,0.5879907,1.0574119,1.050069,1.1498731,1.1688416,1.1888764,1.2061403,1.2284291,1.2222297,0.77549237
16,0.37573647,0.020699637,0.44433784,0.347343,0.43563232,0.40744057,0.40696886,0.4218077,0.47366863,0.49524137,0.5401679,0.5002537,0.25158277
17,0.12873508,0.018011127,0.1905138,0.09783702,0.108100526,0.10963079,0.078535594,0.12824672,0.32026935,0.38984784,0.38738316,0.4206699,0.15136683
18,0.13388492,0.0061164736,0.17912552,0.08643206,0.1072432,0.10766085,0.07293346,0.12727094,0.3472415,0.432619,0.4192107,0.46795812,0.12173904
19,0.12758861,0.0012104748,0.1876633,0.07847523,0.09918391,0.09810807,0.05853561,0.116105005,0.37453327,0.48370606,0.47044396,0.5312852,0.11662276
20,0.3610139,0.024988782,0.2585245,0.20908141,0.33758372,0.3130738,0.31385213,0.3275349,0.42142037,0.47408754,0.45291218,0.49604845,0.15692416
21,0.1297773,0.008527437,0.18094379,0.083972126,0.102652594,0.09903025,0.06802321,0.11775386,0.32036364,0.40463722,0.39941466,0.44404155,0.12781602
22,0.5873996,0.0022321674,0.56544375,0.42047518,0.6022377,0.57356495,0.60172063,0.60133845,0.66479665,0.71227777,0.68437684,0.7323346,0.19399998
23,0.12296744,0.0011780355,0.17220181,0.07534427,0.09431169,0.08603639,0.058882948,0.09769947,0.24036607,0.30477658,0.30611706,0.3453637,0.076557264
24,0.8974685,0.0031422074,0.5491763,0.36370793,0.89697164,0.8547652,0.9030934,0.8918466,0.907467,0.9378101,0.9070562,0.9484064,0.3482037
25,0.117860295,0.0014156578,0.3081318,0.17840219,0.10582318,0.10818211,0.10973032,0.1589033,0.25682014,0.30396697,0.31633127,0.3516667,0.14905655
26,0.14859478,0.001343204,0.29916632,0.15922341,0.12814581,0.12567809,0.13253339,0.172642,0.27206823,0.33333734,0.33979326,0.39907545,0.07988947
27,0.77512056,0.010348713,0.5766626,0.42880565,0.7711854,0.72881377,0.7756,0.7879605,0.8080967,0.83372754,0.8198352,0.844629,0.43954954
